user_id;student_number;total_courses;total_spent;first_order;last_order
usr_0001;1;1;8950.0;2026-09-04 19:30:57;2026-09-04 19:30:57
usr_0002;2;1;8950.0;2026-09-05 16:22:48;2026-09-05 16:22:48
usr_0003;3;1;5975.0;2026-09-03 22:47:02;2026-09-03 22:47:02
usr_0004;4;1;8950.0;2026-08-31 15:42:34;2026-08-31 15:42:34
usr_0005;5;1;5750.0;2026-08-22 16:19:00;2026-08-22 16:19:00
usr_0006;6;1;8450.0;2026-09-02 19:16:28;2026-09-02 19:16:28
usr_0007;7;1;4950.0;2026-08-08 14:07:56;2026-08-08 14:07:56
usr_0008;8;2;8990.0;2026-08-08 16:25:39;2026-08-08 16:25:39
usr_0009;9;1;8950.0;2026-09-03 14:55:45;2026-09-03 14:55:45
usr_0010;10;1;8450.0;2026-09-06 16:25:37;2026-09-06 16:25:37
usr_0011;11;1;6975.0;2026-08-27 20:09:27;2026-08-27 20:09:27
usr_0012;12;1;6490.0;2026-08-09 16:52:01;2026-08-09 16:52:01
usr_0013;13;1;8950.0;2026-09-07 07:54:24;2026-09-07 07:54:24
usr_0014;14;1;8950.0;2026-08-30 23:52:21;2026-08-30 23:52:21
usr_0015;15;1;8450.0;2026-09-04 15:26:00;2026-09-04 15:26:00
usr_0016;16;2;9900.0;2026-08-10 16:56:42;2026-08-10 16:56:42
usr_0017;17;1;9950.0;2026-08-22 17:01:20;2026-08-22 17:01:20
usr_0018;18;1;8950.0;2026-09-05 14:29:29;2026-09-05 14:29:29
usr_0019;19;2;9900.0;2026-08-09 11:01:50;2026-08-09 11:01:50
usr_0020;20;2;14950.0;2026-09-06 11:07:00;2026-09-06 11:07:00
usr_0021;21;2;9900.0;2026-08-10 16:29:36;2026-08-10 16:29:36
usr_0022;22;1;8450.0;2026-09-06 14:41:56;2026-09-06 14:41:56
usr_0023;23;1;2237.5;2026-09-06 15:39:44;2026-09-06 15:39:44
usr_0024;24;1;8950.0;2026-09-05 18:23:21;2026-09-05 18:23:21
usr_0025;25;1;8450.0;2026-08-30 18:34:15;2026-08-30 18:34:15
